id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
5199,Kepler-240 c,2436,0.322 Jupiters,15.953,2014
5200,Kepler-232 c,4401,14 Earths,15.565,2014
5201,Kepler-233 b,2794,6.48 Earths,15.477,2014
5202,Kepler-233 c,2794,7.8 Earths,15.477,2014
5203,Kepler-234 b,5653,13.2 Earths,15.747,2014
5204,Kepler-234 c,5653,12.1 Earths,15.747,2014
5205,Kepler-235 b,1396,5.6 Earths,16.567,2014
5206,Kepler-235 c,1396,2.18 Earths,16.567,2014
5207,Kepler-235 d,1396,4.86 Earths,16.567,2014
5208,Kepler-235 e,1396,5.56 Earths,16.567,2014
5209,Kepler-236 b,942,3.09 Earths,16.014,2014
5210,Kepler-236 c,942,4.66 Earths,16.014,2014
5211,Kepler-237 b,2146,2.57 Earths,15.689,2014
5212,Kepler-237 c,2146,4.98 Earths,15.689,2014
5213,Kepler-238 b,5868,3.64 Earths,15.297,2014
5214,Kepler-238 c,5868,6.3 Earths,15.297,2014
5215,Kepler-238 d,5868,9.64 Earths,15.297,2014
5216,Kepler-238 e,5868,0.534 Jupiters,15.297,2013
5217,Kepler-238 f,5868,13.5 Earths,15.297,2013
5218,Kepler-239 b,2114,6.04 Earths,15.252,2014
5219,Kepler-239 c,2114,6.85 Earths,15.252,2014
5220,Kepler-23 b,2726,0.8 Jupiters,13.567,2011
5221,Kepler-23 c,2726,2.7 Jupiters,13.567,2011
5222,Kepler-23 d,2726,17.6 Earths,13.567,2014
5223,Kepler-240 b,2436,2.45 Earths,15.953,2014
5224,Kepler-240 c,2436,0.322 Jupiters,15.953,2014
5225,Kepler-232 c,4401,14 Earths,15.565,2014
5226,Kepler-233 b,2794,6.48 Earths,15.477,2014
5227,Kepler-233 c,2794,7.8 Earths,15.477,2014
5228,Kepler-234 b,5653,13.2 Earths,15.747,2014
5229,Kepler-234 c,5653,12.1 Earths,15.747,2014
5230,Kepler-235 b,1396,5.6 Earths,16.567,2014
5231,Kepler-235 c,1396,2.18 Earths,16.567,2014
5232,Kepler-235 d,1396,4.86 Earths,16.567,2014
5233,Kepler-235 e,1396,5.56 Earths,16.567,2014
5234,Kepler-236 b,942,3.09 Earths,16.014,2014
